PostgreSQL Información del Servidor
{'user': 'postgres', 'channel_binding': 'prefer', 'dbname': 'bigdata', 'host': 'localhost', 'port': '5432', 'options': '', 'sslmode': 'prefer', 'sslcompression': '0', 'sslcertmode': 'allow', 'sslsni': '1', 'ssl_min_protocol_version': 'TLSv1.2', 'gssencmode': 'disable', 'krbsrvname': 'postgres', 'gssdelegation': '0', 'target_session_attrs': 'any', 'load_balance_hosts': 'disable'} 

Python version:  3.12.6 (tags/v3.12.6:a4a2d2b, Sep  6 2024, 20:11:23) [MSC v.1940 64 bit (AMD64)]
Estás conectado a -  ('PostgreSQL 17rc1 on x86_64-windows, compiled by msvc-19.41.34120, 64-bit',) 

Base de datos: bigdata 

Cargando temporal ... ->  5 1 5 5.001 Antioquia Medellín 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 2 5 5.002 Antioquia Abejorral 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 3 5 5.004 Antioquia Abriaquí 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 4 5 5.021 Antioquia Alejandría 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 5 5 5.03 Antioquia Amagá 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 6 5 5.031 Antioquia Amalfi 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 7 5 5.034 Antioquia Andes 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 8 5 5.036 Antioquia Angelópolis 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 9 5 5.038 Antioquia Angostura 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 10 5 5.04 Antioquia Anorí 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  6 11 15 15.832 Boyacá Tununguá 2 Región Centro Oriente
Cargando temporal ... ->  5 12 5 5.044 Antioquia Anza 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 13 5 5.045 Antioquia Apartadó 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 14 5 5.051 Antioquia Arboletes 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 15 5 5.055 Antioquia Argelia 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 16 5 5.059 Antioquia Armenia 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 17 5 5.079 Antioquia Barbosa 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 18 5 5.088 Antioquia Bello 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 19 5 5.091 Antioquia Betania 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 20 5 5.093 Antioquia Betulia 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 21 5 5.101 Antioquia Ciudad Bolívar 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 22 5 5.107 Antioquia Briceño 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 23 5 5.113 Antioquia Buriticá 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 24 5 5.12 Antioquia Cáceres 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 25 5 5.125 Antioquia Caicedo 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 26 5 5.129 Antioquia Caldas 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 27 5 5.134 Antioquia Campamento 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 28 5 5.138 Antioquia Cañasgordas 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 29 5 5.142 Antioquia Caracolí 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 30 5 5.145 Antioquia Caramanta 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 31 5 5.147 Antioquia Carepa 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  6 32 15 15.476 Boyacá Motavita 2 Región Centro Oriente
Cargando temporal ... ->  4 33 5 5.15 Antioquia Carolina 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 34 5 5.154 Antioquia Caucasia 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 35 5 5.172 Antioquia Chigorodó 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 36 5 5.19 Antioquia Cisneros 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 37 5 5.197 Antioquia Cocorná 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 38 5 5.206 Antioquia Concepción 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 39 5 5.209 Antioquia Concordia 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 40 5 5.212 Antioquia Copacabana 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 41 5 5.234 Antioquia Dabeiba 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 42 5 5.237 Antioquia Don Matías 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 43 5 5.24 Antioquia Ebéjico 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  4 44 5 5.25 Antioquia El Bagre 1 Región Eje Cafetero - Antioquia
Cargando temporal ... ->  5 45 5 5.264 Antioquia Entrerrios 1 Región Eje Cafetero - Antioquia
